Name,Cusine,Date,Quote,Detail Review,Rating
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed January 4, 2023 ",Beyond Delicious!,"My friend and I were recommended this restaurant and surely it did not disappoint. We tried different things on the menu and they were all delicious. If you visit Mumbai, you must eat here before you leave.",5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed December 8, 2022 ",Average Quality and Choice in Dishes.,"Well-prepared food but the absence f beef and good quality pork makes it different from western Chinese restaurants. Excellent prawn dishes, however!",5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed October 19, 2022 ",Definitely overhyped !,"We went to this restaurant after reading positive reviews on various online platforms but unfortunately we found this restaurant not that great. Service was okay but quality of food and taste was not of Taj standards. We ordered Stone wok vegetable, Sliced fish with pepper...and stir fried chicken with black pepper and found that none of the dishes had that wow feeling. Overall very disappointing experience.More",2.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed September 3, 2022 ",Exceptional food and service,"We went to Golden Dragon for dinner on a Friday evening at 8pm. Reservations are required because it fills up quickly. The food and service were excellent, and absolutely worth the price. We ordered the stir fried prawns with ginger, scallion and chilli, the lemon...coriander soup with chicken, the lobster butter chilli oyster, the sautéed scallops, ginger, garlic and broccoli, the burnt garlic stir fried rice with seafood, and the dark chocolate toffee with honey nut crunch ice cream.

Everything was nice, but the scallops and lobster dishes were exceptional. The scallops were perfectly cooked, and the sauce that the lobster came with is one of the best I've ever had. The prawns were also delicious.

The service was quick, and the waiters were very helpful and made good recommendations. I will definitely visit again.More",5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed June 25, 2022 ",Great Dimsums!!!,Friendly and professional staff and delicious food. Chef make Dimsum in front of you and a flambe desserts. Beight and positive Ambience,5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed June 21, 2022 ",1st Anniversary Dinner,Visited Golden dragon to celebrate my first anniversary. Servers are very well trained and they know what they are serving best suggestions and attentive service,5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed May 16, 2022 ",Golden Experience at Golden Dragon,Golden Dragon is one of the best chinese restaurant I have ever visited. Best truffle edamame dumpling and veg water poached. Must visit for any occasion.,5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed March 13, 2022 ",great food and hospitable staff,"We had the sticky rice with vegetables hot pot, and the fried noodles in seafood. Both dishes were good.",5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed August 29, 2023 ",Awesome food,Very nice and calm place to eat and spend some quality time with ur loved ones.... Tasty and superb dishes,5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed July 24, 2023 ",Superb,"We were staying at the hotel and decided to visit this restaurant by booking in advance. It was an out of the world experience. Right from the starters to the soup to the main course to the desserts, the food was superb. One can experience...similar Asian dishes at other restaurants but the taste here along with the service was at another level.

Highly recommended while in MumbaiMore",5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed May 8, 2023 ",Pleasant Experience,I loved food here. They offered good appointed table for us. The food ordered was really awesome in taste. Multigrain noodles was superb. Ambiance was lovely and service was outstanding.,5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed March 23, 2023 ",Legendary Outlet,"This renovated restaurant carries legacy from the olden days for its authentic chinese cuisine and a sad note of the carnage carried out by terrorist.
The restaurant had a packed seating fully due to festival of Parsis. Fortunately the booking reservation was done well in...advance.
Most of the staff seem been working from a long time and have carried the Taj legacy. Top managers are changing. Both have seen to it that the service are well attended as most clientele have a great expectation.
The chef who form a backbone need to be commended for their excellent dining out various dishes to the taste of the visitors.
Our experience has been good. Fully veg and well served. A slight glitch but was taken care well. 
Only regret was some foreigner who dine out have a particularly loud noise when rthey speak on their cell phones regardless of the surrounding and whether their stiff upper voice is disturbing others.
There is no particular dish that I would recommend as whatever we ordered was upto markMore",4.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed January 4, 2023 ",Back to glory outstanding service by Rakesh and suresh.,Back to No1 . outstanding service by Rakesh and suresh. After long time had superb food at golden Dragon. i have been visiting for last 25 years back to its old glory. the resturant is inside the iconic taj mahal hotel. Tariq got us the...table despite the resturant being full. Rakesh was outstanding and helped us in selecting dimsum and fried rice with vegetables. suresh also was very helpful. Corn soup was perfect after many years. fried rice with vegetables was out of the world. taj is back to its old glory thanks to superb Ceo Punit Chatwal. After many years seeing this.More,5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed January 4, 2023 ",Beyond Delicious!,"My friend and I were recommended this restaurant and surely it did not disappoint. We tried different things on the menu and they were all delicious. If you visit Mumbai, you must eat here before you leave.",5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed December 8, 2022 ",Average Quality and Choice in Dishes.,"Well-prepared food but the absence f beef and good quality pork makes it different from western Chinese restaurants. Excellent prawn dishes, however!",5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed October 19, 2022 ",Definitely overhyped !,"We went to this restaurant after reading positive reviews on various online platforms but unfortunately we found this restaurant not that great. Service was okay but quality of food and taste was not of Taj standards. We ordered Stone wok vegetable, Sliced fish with pepper...and stir fried chicken with black pepper and found that none of the dishes had that wow feeling. Overall very disappointing experience.More",2.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed September 3, 2022 ",Exceptional food and service,"We went to Golden Dragon for dinner on a Friday evening at 8pm. Reservations are required because it fills up quickly. The food and service were excellent, and absolutely worth the price. We ordered the stir fried prawns with ginger, scallion and chilli, the lemon...coriander soup with chicken, the lobster butter chilli oyster, the sautéed scallops, ginger, garlic and broccoli, the burnt garlic stir fried rice with seafood, and the dark chocolate toffee with honey nut crunch ice cream.

Everything was nice, but the scallops and lobster dishes were exceptional. The scallops were perfectly cooked, and the sauce that the lobster came with is one of the best I've ever had. The prawns were also delicious.

The service was quick, and the waiters were very helpful and made good recommendations. I will definitely visit again.More",5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed June 25, 2022 ",Great Dimsums!!!,Friendly and professional staff and delicious food. Chef make Dimsum in front of you and a flambe desserts. Beight and positive Ambience,5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed June 21, 2022 ",1st Anniversary Dinner,Visited Golden dragon to celebrate my first anniversary. Servers are very well trained and they know what they are serving best suggestions and attentive service,5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed May 16, 2022 ",Golden Experience at Golden Dragon,Golden Dragon is one of the best chinese restaurant I have ever visited. Best truffle edamame dumpling and veg water poached. Must visit for any occasion.,5.00
"GOLDEN DRAGON - TAJ MAHAL PALACE, MUMBAI - South Mumbai - Menu, Prices & Restaurant Reviews - Tripadvisor",Chinese,"Reviewed March 13, 2022 ",great food and hospitable staff,"We had the sticky rice with vegetables hot pot, and the fried noodles in seafood. Both dishes were good.",5.00
"SAROJINI RESTAURANT, Bhubaneswar - Restaurant Reviews & Phone Number - Tripadvisor",,"Reviewed November 28, 2019 ",Small hotel,Its a small hotel with average ambience. Most of the food are typical odia food. I like thier mixed veg a lot.,4.00
"SAROJINI RESTAURANT, Bhubaneswar - Restaurant Reviews & Phone Number - Tripadvisor",,"Reviewed July 28, 2019 ",Great place!!!,It is located near my home.The chicken mughlai and paneer tikka masala are my favourite.prices and quantity are so good.,5.00
"SAROJINI RESTAURANT, Bhubaneswar - Restaurant Reviews & Phone Number - Tripadvisor",,"Reviewed March 31, 2019 ",A nice place,Itz a good restaurant near tankapani road bjb nagar...foodz are good and delicious...overally good place to visit..,5.00
"SAROJINI RESTAURANT, Bhubaneswar - Restaurant Reviews & Phone Number - Tripadvisor",,"Reviewed March 10, 2018 ",Good food!,We just happened to visit this place. To our surprise it happened to be really nice restaurant. Tasty food,4.00
"SAROJINI RESTAURANT, Bhubaneswar - Restaurant Reviews & Phone Number - Tripadvisor",,"Reviewed February 1, 2017 ",Good place in Bhubaneshwar,Sarojini Restaurant is located on Tankapani Road in Old Town. It is a good place for good food at nice price.,4.00
"SAROJINI RESTAURANT, Bhubaneswar - Restaurant Reviews & Phone Number - Tripadvisor",,"Reviewed August 3, 2016 ",sonali resturant is the best resturant of old town,sonali resturant provide good qualities of fooding that make to happy that. This resturant provide chepest rate of good food thats not ignore . this resturant growin day to day  in bhubaneswar .,5.00
"NAVIDYA RESTAURANT, Udaipur - Menu, Prices & Restaurant Reviews - Tripadvisor","Chinese, Indian, Asian",Reviewed 4 weeks ago ,Best Authentic Food,"If you are looking for good authentic food, this is the place you should be visiting to. Being from Rajasthan myself, the Thali was exquisite and a must tryMore",5.00
"NAVIDYA RESTAURANT, Udaipur - Menu, Prices & Restaurant Reviews - Tripadvisor","Chinese, Indian, Asian",Reviewed 4 weeks ago ,"Pleasant staffs, delicious and reasonable dishes","Enjoyed having meal, the manager was making us feel special. He clicked few pics for us.Also the thali was full of different flavors of taste.More",4.00
"NAVIDYA RESTAURANT, Udaipur - Menu, Prices & Restaurant Reviews - Tripadvisor","Chinese, Indian, Asian","Reviewed September 7, 2023 ",Authentic marwari food,It was pleasure here to have authentic Marwari food will sure visit again and again for authentic cuisineMore,5.00
"NAVIDYA RESTAURANT, Udaipur - Menu, Prices & Restaurant Reviews - Tripadvisor","Chinese, Indian, Asian","Reviewed August 27, 2023 ",Excellent place for stay and dining,Delicious food with delightful service by staff. The starters are innovative and tasteful. Also the side chutneys are deliciousMore,5.00
"NAVIDYA RESTAURANT, Udaipur - Menu, Prices & Restaurant Reviews - Tripadvisor","Chinese, Indian, Asian","Reviewed July 3, 2023 ",must visit place for rajasthani food thali ,"it was great Rajasthani food very rooted ,good taste ,very humble staff and value for money ..must visit in udaipur .More",5.00
"NAVIDYA RESTAURANT, Udaipur - Menu, Prices & Restaurant Reviews - Tripadvisor","Chinese, Indian, Asian","Reviewed June 26, 2023 ",Very good,Food test & quality was good and serving team is also very good.  We repeatedly visit this restorantMore,5.00
"NAVIDYA RESTAURANT, Udaipur - Menu, Prices & Restaurant Reviews - Tripadvisor","Chinese, Indian, Asian","Reviewed June 10, 2023 ",Awesome,People with 24 carat Heart. Ashutosh and Kitchen staff were outstanding. Worth living and dining experience. My family enjoyed thoroughly.More,5.00
"NAVIDYA RESTAURANT, Udaipur - Menu, Prices & Restaurant Reviews - Tripadvisor","Chinese, Indian, Asian","Reviewed May 31, 2023 ",We really enjoyed staying and dining there. Amazing food and service by staff. Highly impressed. Would highly recommend.,"We went to Udaipur and choose to stay there in Amantra Comfort Hotel, which is located near Sukhadia Circle. It was really very comfortable stay.More",5.00
"NAVIDYA RESTAURANT, Udaipur - Menu, Prices & Restaurant Reviews - Tripadvisor","Chinese, Indian, Asian","Reviewed May 27, 2023 ",Amazing Hotel & Great Staff,"I had Stay in Hotel Amantra for a day but the Hospitality services i received from them was so satisfying & amazing.Totally recommended.Special thanks to the inhouse Manager,Ms Lalita & So cheerful Mr Govind.More",5.00
"NAVIDYA RESTAURANT, Udaipur - Menu, Prices & Restaurant Reviews - Tripadvisor","Chinese, Indian, Asian","Reviewed May 17, 2023 ",Mind blowing,"Staff is very polite and understand the staff explained all food and 3 persons 2 Rajasthani thali, kadhi is fantastic.More",5.00
"NAVIDYA RESTAURANT, Udaipur - Menu, Prices & Restaurant Reviews - Tripadvisor","Chinese, Indian, Asian","Reviewed May 12, 2023 ",Breakfast a must at Navidya restaurant,"Good food, polite staff, excellent service. Affordable price too!
Staying in another hotel, but make it a point to have breakfast daily here.More",5.00
"NAVIDYA RESTAURANT, Udaipur - Menu, Prices & Restaurant Reviews - Tripadvisor","Chinese, Indian, Asian","Reviewed April 24, 2023 ",A must visit place for good food with superb hospitality,Food was really nice. Taste was superb. The service was really fast and the staff was polite and very courteous. Highly recommended for anyone who needs good food with reasonable price.More,5.00
"NAVIDYA RESTAURANT, Udaipur - Menu, Prices & Restaurant Reviews - Tripadvisor","Chinese, Indian, Asian","Reviewed March 28, 2023 ",Excellent,All are good all food are so excellent so good.room service to good.bedromm to good and other services to good.More,5.00
"HAVELI, Jalandhar - Grand Trunk Rd - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed August 24, 2023 ",This restaurant is famous for its non-veg dishes and we experienced why..,"Undoubtedly the only restaurant that serves you the authentic dish that probably most foodies are looking for.

Great space and food quality is top-notch. 
Amaazing! The whole experience from start to finish was great.

Truly a satisfying experience.More",5.00
"HAVELI, Jalandhar - Grand Trunk Rd - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed August 19, 2023 ",Enjoy the curry.,"I have been to this restaurant a number of times, good menu, plenty of choice, the food is very good and consistent, fantastic staff, clean and well set up. The curries are great for an Australian travelling in the Punjab. Parking lot next door.More",4.00
"HAVELI, Jalandhar - Grand Trunk Rd - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed August 2, 2023 ",best experience,Although the place is for tourists & visitors but I visited here for a business meeting with a client. The place is very authentic just like its food. Also we were very comfortable discussing our meeting points.More,5.00
"HAVELI, Jalandhar - Grand Trunk Rd - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed July 29, 2023 ",Nice flavour but culture was missing as no punjabi,"Need more punjabi culture rather than walls and stuff. Hire some Punjabi youth and let them serve as we are representing Punjabi culture and only our youth knows how to present the culture properly. I don’t want to be racial or discriminatory, but if something...is our heritage then needs to be represented by our beings only.More",3.00
"HAVELI, Jalandhar - Grand Trunk Rd - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed July 9, 2023 ",Overall an average experience !!,"Great ambiance, but average food
There are different prices for food available in AC and non AC sitting area.

Overall, it was an average experience!!More",3.00
"HAVELI, Jalandhar - Grand Trunk Rd - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed July 7, 2023 ",best place,"It was an incredible experience. From the warm and welcoming ambiance to the impeccable service,However, what stood out the most for me was the delectable Punjabi cuisine they served, particularly the Channa Bhature and Amritsari Kulcha. Apart from the delicious food, I must commend the...exceptional service provided by the staff, particularly the Manager, Rashpal ,He was a true gentleman, always ready to cater to our every needsMore",5.00
"HAVELI, Jalandhar - Grand Trunk Rd - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed July 7, 2023 ",Worst experience,Very poor staff cooperation and my worst experience and no one listens to the customers it was my last staff attitude is seven hightMore,1.00
"HAVELI, Jalandhar - Grand Trunk Rd - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed May 30, 2023 ",Awesome place,Awesome place for family and friends.freindly environment.authentice Punjabi food and very good behave staff memberMore,5.00
"HAVELI, Jalandhar - Grand Trunk Rd - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed May 11, 2023 ",Fantastic food and service. ,"Excellent service and delicious food! 
Lip smacking kadhi/ chilli paratha, rajma chawal & paneer parathas. Sumptuous lassi’s too!More",5.00
"HAVELI, Jalandhar - Grand Trunk Rd - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed May 11, 2023 ",Good but could be better,"Lovely restaurant and atmosphere, delicious mix veg and dhal makani but shahe paneer had too much mirchi served by professional and curtious staff, no smiles though, and we paid for 1 mix veg subjee and 2naan but got 1 very smelly parote only.More",4.00
"HAVELI, Jalandhar - Grand Trunk Rd - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed April 18, 2023 ",Haveli awesome,"Awesome food and place. Highly recommended 
I go with my friends and duty manager is so polite and food was very good.highly recommended to my friendsMore",5.00
"HAVELI, Jalandhar - Grand Trunk Rd - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed April 1, 2023 ",Super Amazing,Went back after a very long time. Absolute amazing how it has changed. The food atmosphere the aromas singing. All amazing had a wonderful evening with FamilyMore,5.00
"HAVELI, Jalandhar - Grand Trunk Rd - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed March 24, 2023 ",BAD EXPERIENCE,"I visited this place on 24/03/2023 on a rainy day with family and friends specially to have dinner and long drive from ludhiana.
It was a warm welcome as there were boys with huge umbrellas to guide you towards the restaurant to avoid rain showers...on you.
There are few stalls installed outside the restaurant of quick bites .
To my surprise I was informed that outside food from stalls shall only be served inside if we order main course ( dinner ) with them although stalls are also run by the owner of the restaurant. I did tell them that I shall order dinner only after having snacks from outside but I was told to go out and help my self with self service and they would only serve me if I place order for dinner with them .. Disgusting
Although I had dinner there only because I was accompanied by my family and friends
But I was completely unethical and DisgustingMore",1.00
"HAVELI, Jalandhar - Grand Trunk Rd - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed February 23, 2023 ","Fully enjoyed food,","We came here with my old friends, we enjoyed a alot and I recommend to others, please visit here and enjoy your quality time with your loved ones.More",5.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",Reviewed 2 weeks ago ,Yummy.. Yummy.. Yummy,No more words than just yummy.. Biriyani is my favorite here specially chicken.. Appam and fish curry made with coconut milk is just another favorite combo..,5.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reviewed July 31, 2023 ","Timeless Charm, Excellent Service, Amazing Food, Unbeatable Prices!","One of the oldest restaurants in town, I was instantly transported back in time with its charming old interiors.

The service was simply outstanding, as the staff was attentive and courteous in spite of the heavy rush, there were at least a 50 people waiting...outside to get in. And everyone got a smile from the staffs.

Now, let's talk about the food. The food was beyond amazing! Prepared with authentic flavors, the biriyani was so good that my kids just loved it.
The most delightful surprises, they had Vegetable biriyani and i didnt leave a tiny grain of rice behind. Every bite was a pure delight.

What impressed me the most was the unbelievable affordability. Despite its longstanding reputation and excellent service, the prices were incredibly cheap.

It's a place where time slows down, and you can savor both history and culinary artistry.

I can't recommend it highly enough, and I'm already looking forward to my next visit!More",4.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reviewed May 31, 2023 ","Great place for non-veg Kerala food in Kozhikode, a place not to be missed.","Been here for breakfast and late lunch on our way to Wayanad from Kozhikode and back. 

Breakfast was extraordinary. We ordered Appam, Idiappam, Chicken curry, Veggie stew, Parotta and a Pazham Pori. Except Idiappam, everything tasted great. Idiappam was a little soggy. We thoroughly enjoyed...the breakfast. 

Two days later, we were at the same place for lunch, somewhat late in the afternoon like 4:30PM. We ordered Nei Choru, Parottas, Fish Fry, Chicken curry and Fish Curry. All tasted good, particularly the fish fry was quite unique and tasted extremely good. It was like I never had it anywhere else, except one Malayali restaurant in Chennai called Kumarakom which is not that famous anymore. 

The building and ambiance looks old, but kept neat and clean. Surprisingly the breakfast was pretty cheap, like Rs. 400 for 3 people. The lunch was quite expensive, due to the fish dishes we ordered, still its worth the money. 

I would strongly recommend this place for anyone landing in Kozhikode for anytime, breakfast, lunch or dinner. This is both cost effective and tasty. I will never miss it whenever I visit Kozhikode.More",5.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reviewed May 14, 2023 ",Best restaurant since 1939,"Paragon is a Kozhikode institution with an unmatched cuisine with awesome taste 

It’s maintained it’s standards over the last 18 years the first time i got to visit 

There will be a significant waiting time most of the days specially during the vacation time but...hats off to the staff and the customers who display patience and wait their turn

There are other outlets in Focus Mall, Gulf countries and now Bengaluru

The management could look at expanding the capacity to reduce the waiting timeMore",5.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reviewed April 26, 2023 ",Very good to check out Indian cuisine,"Indeed very good food (at a price). Went here twice during my short stay in Calicut, as the restaurant is also centrally located on the upper floor of Focus mall. Excellent service and comfortable ambience.

Try the delicious curd rice for breakfast.",4.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reviewed March 31, 2023 ",Lunch at Paragon Kozhikkode ,"Went for lunch with family . A very crowded place. Food is ok( not upto the expectation as the biriyani was bland), probably should come in the early hours for a better meal. Restaurant should be well lit as the place was very dark, had...to use my mobile light to see the menu. Ordered for 6 chicken biriyanis, chicken 65 and a thali( dessert was missing)More",2.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reviewed March 8, 2023 ","A very nice restaurant, excellent service, high quality food”","Very classy restaurant. A warm welcoming, followed by an excellent service, with a lot of attention to details on order to please you.
The service always with a smile and very patient with us.
Food was delicious  
if you have the opportunity to go eat...there, do not hesitate !More",5.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reviewed February 21, 2023 ",Famous For Biriyani,"Best restaurant in  Kozhikode. I bought Biriyani The rice was cooked perfectly and the spices were just right .The chicken was tender and juicy, and the flavors blended together perfectly.",5.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reviewed January 18, 2023 ",Outstanding meal,"Our meal at the Paragon restaurant in Calicut was the highlight of a recent trip to Kerala. Chef Thomas's spread was outstanding - from the raw mango drink to the squid, beef Kappa, chicken biriyani, neimeen curry with Kerala parotta, to the elaneer payasam, it...was a meal so sumptuous you could feel the kilos piling on even as your taste buds were overwhelmed. Go if you are in vicinity or even if you are not. And go early as the place is always crowded at lunch and dinner time with long queues waiting patiently to be seated.More",5.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reviewed December 15, 2022 ",Famous for biriyanis,"I visited the restaurant for a late lunch and tried their chicken biryani and fish fry. The place was always crowded, and the service was quick and professional. We had our lunch at 5 pm; the taste was delicate, not superb; however, it was reasonably...good. I didn't find it very tasty as per the hype, or what I was told by many of my local friends thought it was good. It's located under an Outerbridge and there is a car parking nearby.More",5.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reviewed October 8, 2022 ",Kerala's No.1 restaurant.,Best restaurant in Kerala.No need of further description.Mango fish curry is one of their tastiest curries.Try chicken fry also.,5.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reviewed August 3, 2022 ",Paragon is just hyped!! Nonsense! ,This restaurant is just hyped! The food is not worth waiting for two hours!! The mango fish curry had no mango taste no sourness!!,1.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reviewed March 17, 2022 ",Food from heaven!,"At peak lunch time on a Sunday, five of us dropped in at Paragon on our way to Tellicherry. Though it was past 2pm, the restaurant was brimming with guests - many waiting for their turn at the tables. We were lucky to find a...table for five and from there on, it was a trip to food heaven! We ordered neichoru, fish with mango curry, prawn roast, mutton biriyani - and each item was to die for. All the meat and seafood was fresh. How the restaurant manages to retain the right taste, especially with consistency given the volumes that have to cater for, is amazing. The service was top class and very proactive. Paragon is a restaurant that I can go to, again and again. The food does not fail, ever. The taste is worth the effort.More",5.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reviewed March 9, 2022 ",Mouthful of taste flavours and local kerala cuisine.,The food has hangover . Delight for foodies- loved by the localities . Kerala cuisine at its best. Don't miss soup in bun and mango fish curry with one of the best aapams. A must visit for a foodie - veg or non veg,5.00
"HOTEL PARAGON RESTAURANT, Kozhikode - Menu, Prices & Restaurant Reviews - Tripadvisor","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reviewed November 26, 2021 ",Portion,"I had came for a take away on 26th nov night ordered food. Waiter was not interested on giving suggestion. Ordered chicken 65  . Portion of 6 pcs chicken on high price. Still we trust paragon we took it home. At our dining table kids...and we were upset by seeing huge pieces of bones and very less meat on it. 
Paragon team pls don't come down as standard  of Highway Daba on portion as you are taking high standard pricesMore",3.00
"MANGALAM INDIAN RESTURANT, Bundi - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Dinner,"Reviewed August 23, 2016 ",Normal Indian,"We stopped by while out walking for some chai - the menu is extensive, but we did not have any food as we had plans for the evening. Nice restaurant, but nothing special.",3.00
"MANGALAM INDIAN RESTURANT, Bundi - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Dinner,"Reviewed January 23, 2015 ",Secret hideaway in Bundi,"Although this little old guest house is tucked away in the oldest part of Bundi it has the most delightful family in it to welcome and look after you.  I was staying for two nights and the dinners and breakfasts were absolutely delicious, and the...extremely low prices for the bedrooms is probably commensurate with what you receive.  The house is old and situated round a central court with all the rooms facing the center.  The restaurant used to be on the roof until the monkeys started stealing the food so you eat now next to the kitchen! Even if you are not on a budget stay I would still recommend you to go and enjoy the wonderful cooking.  My best wishes and thanks to you allMore",5.00
